face_id,src,dst,face_length,normal_x,normal_y,center_distance,elevation_src,elevation_dst,elevation_diff,bed_slope,manning_src,manning_dst,manning_mean,manning_diff,ip_src,ip_dst,ip_mean,ip_diff,landcover_ip_src,landcover_ip_dst,area_src,area_dst,area_mean,area_ratio,zone_src,zone_dst,same_zone,zone3_touching,zone3_internal,surface_gradient_rms,face_target_mean,face_target_std,face_target_rms
27170,9539,9537,133.5965729,-0.0489140749,-0.9988030195,68.51995775,21.698452,21.62527466,-0.073177338,-0.001067971149,0.045,0.045,0.045,0,10,10,10,0,10,10,12045.9856,9743.730957,10894.85828,1.236280604,0,0,1,0,0,6.499612511e-05,70928.5625,49471.52734,86477.125
27171,9545,9544,122.419548,-0.5051433444,-0.8630354404,60.87319029,19.33791542,19.81830597,0.480390548,0.007891660445,0.12,0.12,0.12,0,85,85,85,0,85,85,6916.63623,10144.36011,8530.498169,1.466660927,1,0,0,0,0,0.0007472233785,70718.67188,37323.69922,79963.67188
27172,9545,9546,103.0872879,0.7676511407,0.6408679485,68.19384865,19.33791542,18.90811729,-0.429798127,-0.00630259379,0.12,0.12,0.12,0,85,85,85,0,85,85,6916.63623,9005.753418,7961.194824,1.302042368,1,0,0,0,0,0.0005412472854,-65240.00391,33119.26562,73165.17969
27173,9596,9597,96.14859009,0.9746770859,0.2236171067,73.76823922,26,26,0,0,0.045,0.045,0.045,0,10,10,10,0,10,10,6883.077393,9005.949951,7944.513672,1.308419103,1,0,0,0,0,0.0009864281979,-56021.375,31962.96484,64498.26172
27174,9597,9598,77.07284546,0.9890909791,0.1473057717,111.4939182,26,26.13617897,0.13617897,0.001221402676,0.045,0.045,0.045,0,10,10,10,0,10,10,9005.949951,11769.09961,10387.52478,1.306813792,0,0,1,0,0,0.0003943269699,-57208.94531,27675.72656,63551.62891
27175,9603,9602,124.5337296,-0.5692440271,-0.8221685886,80.60733092,26.92472076,27.54229355,0.617572785,0.007661496516,0.045,0.045,0.045,0,10,10,10,0,10,10,9566.723877,9933.513916,9750.118896,1.038340193,0,0,1,0,0,0.001926749509,87741.5625,50095.26172,101035.2266
27176,9607,9608,107.3893127,0.4320322573,0.901858151,124.1055501,29.25461388,29.80752373,0.552909851,0.004455158133,0.045,0.045,0.045,0,10,10,10,0,10,10,14077.30957,13519.92969,13798.61963,1.041226537,0,0,1,0,0,0.002484663086,-40789.79297,43754.19922,59818.37109
27177,9608,9609,125.0230713,0.1847183257,0.9827914834,79.27591371,29.80752373,29.41140175,-0.396121978,-0.004996750709,0.045,0.12,0.0825,0.075,10,85,47.5,75,10,85,13519.92969,8644.822266,11082.37598,1.563933794,0,0,1,0,0,0.001331032521,-74926.44531,43947.21484,86863.85938
27178,9612,9611,119.6053009,-0.9966070652,0.08230658621,88.12845916,30.42017937,30.16955948,-0.250619888,-0.002843801995,0.045,0.045,0.045,0,10,10,10,0,10,10,11516.15039,8465.317383,9990.733887,1.360392041,0,0,1,0,0,0.001260239896,74606.47656,43346.61719,86284.73438
27179,4738,10998,20.61868668,0.1711453944,0.9852457643,122.695097,91.9519043,84.59789276,-7.354011536,-0.05993728939,0.12,0.12,0.12,0,85,85,85,0,85,85,10327.8125,4129.660889,7228.736694,2.500886339,0,2,0,0,0,0.3241840848,29.18609428,17.13064194,33.84209061
27180,4738,10997,79.99842834,-0.51118505,0.8594706655,89.6319476,91.9519043,88.38240814,-3.569496155,-0.03982392719,0.12,0.12,0.12,0,85,85,85,0,85,85,10327.8125,5691.700684,8009.756592,1.814538936,0,1,0,0,0,0.04250317092,325.855896,192.2772827,378.3551331
27181,9632,9633,90.33162689,0.999956429,0.009334279224,89.4126764,88.59578705,88.55981445,-0.035972595,-0.0004023209733,0.045,0.12,0.0825,0.075,10,85,47.5,75,10,85,8306.331055,9163.57373,8734.952393,1.103203529,0,0,1,0,0,0.001093267435,-57.83296204,53.05186462,78.48026276
27182,9625,9633,63.06693649,0.006670758128,-0.9999777675,100,87,88.55981445,1.559814453,0.01559814453,0.12,0.12,0.12,0,85,85,85,0,85,85,4959.20752,9163.57373,7061.390625,1.847789933,2,0,0,0,0,0.007369322683,-2715.838623,1255.007812,2991.792969
27183,9625,11003,50.45969772,0.9707046151,-0.2402760237,61.13114119,87,87,0,0,0.12,0.12,0.12,0,85,85,85,0,85,85,4959.20752,4130.968018,4545.087769,1.200495259,2,2,1,0,0,0.000121440828,-8703.426758,5187.192871,10131.95996
27184,9625,11693,25.3188591,0.8253206015,0.5646644831,50.25727285,87,88.89414978,1.89414978,0.03768906812,0.12,0.12,0.12,0,85,85,85,0,85,85,4959.20752,2667.808838,3813.508179,1.858906624,2,2,1,0,0,0.02008376688,-0.7811801434,1.085094452,1.337038636
27185,9625,11002,61.69766998,0.06061863527,0.9981610179,41.51341114,87,90.69624329,3.696243286,0.08903732997,0.12,0.12,0.12,0,85,85,85,0,85,85,4959.20752,4108.902832,4534.055176,1.206942029,2,2,1,0,0,0.04450439279,-36.00261307,31.10592461,47.5790596
27186,9634,9633,75.64253235,-0.8416522741,0.5400198698,105.3981194,92.59240723,88.55981445,-4.032592774,-0.03826057615,0.045,0.12,0.0825,0.075,10,85,47.5,75,10,85,9584.405273,9163.57373,9373.989502,1.045924391,0,0,1,0,0,0.06913192505,2558.002686,1203.042603,2826.780762
27187,9633,11003,47.48285675,0.5586593747,0.8293972015,103.1388023,88.55981445,87,-1.559814453,-0.01512344935,0.12,0.12,0.12,0,85,85,85,0,85,85,9163.57373,4130.968018,6647.270874,2.218263054,0,2,0,0,0,0.009687654743,550.0881348,305.7069702,629.3280029
27188,11003,11693,54.31803894,-0.3819167316,0.9241967201,46.70534754,87,88.89414978,1.89414978,0.04055530854,0.12,0.12,0.12,0,85,85,85,0,85,85,4130.968018,2667.808838,3399.388428,1.548449784,2,2,1,0,0,0.009274024292,-262.0615845,225.3985596,345.6599426
27189,10545,10544,92.02751923,-0.8295877576,0.5583763719,79.92031851,20.6700058,32.82978058,12.15977478,0.1521487277,0.045,0.045,0.045,0,10,10,10,0,10,10,7149.941895,9440.889404,8295.415649,1.320414843,1,0,0,0,0,0.04454317433,54786.91797,45411.3125,71160.33594
27190,10545,10940,92.78682709,-0.5583763719,-0.8295877576,80,20.6700058,30.6370182,9.967012406,0.1245876551,0.045,0.045,0.045,0,10,10,10,0,10,10,7149.941895,6431.134766,6790.53833,1.111769875,1,1,1,0,0,0.03746829221,112969.1797,86818.16406,142476.0625
27191,10173,10923,97.58885193,-0.9376853704,0.3474853933,51.26337695,33.42786408,34.17017364,0.74230957,0.01448030961,0.045,0.045,0.045,0,10,10,10,0,10,10,6936.029541,4234.035645,5585.032593,1.638160404,1,2,0,0,0,0.003531202344,-255.3222961,2140.491455,2155.665283
27192,9707,10941,47.21192551,-0.996673286,-0.0815006122,71.99572613,-2,18.35369301,20.35369301,0.282706962,0.045,0.045,0.045,0,10,10,10,0,10,10,5754.945312,4793.432861,5274.189087,1.200589531,1,2,0,0,0,0.04127249293,164847.5625,144259.125,219055.7344
27193,9707,10942,88.98586273,-0.136685878,-0.9906144142,40.73498843,-2,-2,0,0,0.045,0.045,0.045,0,10,10,10,0,10,10,5754.945312,5618.661621,5686.803467,1.024255544,1,1,1,0,0,4.573558975e-06,1430883.875,521322.9062,1522894
