hydrograph_id,all_face_abs_max,all_face_count,all_face_mae,all_face_near_zero_fraction,all_face_negative_fraction,all_face_positive_fraction,all_face_rms,zone3_internal_abs_max,zone3_internal_count,zone3_internal_mae,zone3_internal_near_zero_fraction,zone3_internal_negative_fraction,zone3_internal_positive_fraction,zone3_internal_rms,zone3_touch_abs_max,zone3_touch_count,zone3_touch_mae,zone3_touch_near_zero_fraction,zone3_touch_negative_fraction,zone3_touch_positive_fraction,zone3_touch_rms
H1,11386090.0,3435960,60917.71215486346,0.08426640589529563,0.45672010151456943,0.45903881302459865,315263.3838827584,8835437.0,241800,25498.449291628236,0.13310173697270472,0.44712572373862697,0.4198717948717949,256451.19836665585,8835437.0,427680,41521.37715171529,0.15067807706696595,0.4346637673026562,0.41472596333707445,281958.68419729406
H20,11712554.0,3435960,62830.96623413653,0.08172650438305452,0.4572995611124693,0.46099663558365056,321939.9091013535,9064504.0,241800,26471.3647793322,0.13056658395368073,0.4480479735318445,0.4214888337468983,265219.42850701703,9064504.0,427680,43027.97977034284,0.1479073138795361,0.43578843995510663,0.41637673026561917,291024.8998838276
H21,11816139.0,3435960,61145.75797596006,0.0817765631730288,0.4580548085542323,0.4601936576677261,317266.91678710334,9133486.0,241800,26220.14387039303,0.12994210090984284,0.4479818031430935,0.4221712158808933,262900.12094684795,9133486.0,427680,42479.177871299515,0.14737654320987653,0.4359848484848485,0.4167087542087542,288527.110807378
H22,9843215.0,3435960,53765.66843091019,0.08748966809858089,0.455157510564733,0.4573830894422519,277647.7734508465,7683110.0,241800,22291.679151729015,0.13586435070306038,0.4453473945409429,0.418904052936311,223539.5232852907,7683110.0,427680,36190.23190094306,0.1537434530490086,0.4331345866068088,0.4132225028058361,246340.77934343962
H23,10222894.0,3435960,56148.11477881526,0.086059500110595,0.45487462019348307,0.459095274683058,288506.22113715316,7944822.0,241800,23152.222444510444,0.13513234077750208,0.4458436724565757,0.4191149710504549,232536.83484865798,7944822.0,427680,37665.49605695317,0.1528642910587355,0.43352740366629255,0.41368078937523384,255931.03627098337
H24,10880868.0,3435960,58910.48645713331,0.0840740288012666,0.4558344683872921,0.4601200246801476,302233.84898913454,8486954.0,241800,24491.45760601839,0.13310587262200166,0.44679073614557485,0.4202109181141439,246031.98209902365,8486954.0,427680,39834.2379260933,0.1506640478862701,0.4345959595959596,0.4148148148148148,270324.32539091253
H2,10159535.0,3435960,58353.71853424689,0.08597451658342938,0.45347326511368,0.46057753873735435,295780.47086592345,7896912.5,241800,23535.014831729943,0.13617866004962778,0.4454383788254756,0.41844913151364765,236289.80502174242,7896912.5,427680,38465.161043672866,0.15383464272353162,0.4329522072577628,0.4132716049382716,260111.02047771864
H3,11580871.0,3435960,63377.33658328134,0.08271196405080385,0.45640694303775364,0.4609081595827658,324195.51811620395,8975772.0,241800,26385.291354024743,0.1320347394540943,0.44768817204301076,0.42040115798180316,264600.5308141045,8975772.0,427680,43011.68905627879,0.14946221473999252,0.435173494201272,0.4154508043396932,290618.0153550575
H4,10580641.0,3435960,58234.8966653486,0.08591252517491473,0.4552395836971327,0.45888223378619075,299471.2806864733,8211366.0,241800,23949.97944022572,0.1350413564929694,0.4461248966087676,0.418970223325062,241213.87606777292,8211366.0,427680,39038.80265805497,0.15272633744855968,0.4336653572764684,0.4137065095398429,265336.90838908387
H5,11520057.0,3435960,62507.59783747241,0.08198465639879393,0.4566735351983143,0.4613668377978789,318959.69053993735,8935869.0,241800,26124.288043777477,0.1310421836228288,0.44784532671629446,0.4212034739454094,261865.63694361664,8935869.0,427680,42507.24959796252,0.14847783389450056,0.4355101945379723,0.416084455667789,287373.6690018582
H6,11199901.0,3435960,58563.89962832392,0.08371692336348502,0.45698931303041945,0.4593187930010827,303399.8995835882,8699346.0,241800,24760.206173754694,0.1319313482216708,0.44716708023159635,0.4209925558312655,248774.56405122916,8699346.0,427680,40167.282275868194,0.14957678638234193,0.4350425551814441,0.41544612794612795,273318.4234940743
H7,10844890.0,3435960,59984.92773126964,0.08527922327384486,0.45482165100874283,0.4599305579808845,307587.37686699175,8455129.0,241800,24610.06001519885,0.13507857733664186,0.4462448304383788,0.4188172043010753,247382.9439498368,8455129.0,427680,40181.172236203245,0.152665544332211,0.43365834268612047,0.41378133183688737,272189.2226793606
H8,11600546.0,3435960,61582.66333143201,0.08202132737284486,0.4575853618784852,0.46041630286732094,316739.3649218431,8989969.0,241800,26039.05010849268,0.1306079404466501,0.44792803970223327,0.4215467328370554,261177.2755952033,8989969.0,427680,42278.95638335187,0.1480265619154508,0.4357182940516274,0.4163135989524878,286617.10737346567
H9,11402848.0,3435960,60099.823926142366,0.08243314823222622,0.45728559121759277,0.4603039616293554,309736.7197456753,8854332.0,241800,25435.422022458013,0.13086848635235732,0.44768817204301076,0.42151778329197687,255219.1475747237,8854332.0,427680,41262.996736852976,0.1484006734006734,0.4354751215862327,0.4161849981294426,280153.79673281027
